codiceVia;nomeVia;isSensoUnico;nome_strada
5020;VIA C. ANDREATTA;0;
8031;PIAZZALE DELLA PESA;0;
5170;VIA GIARETTE;0;
360;VIA P. BENEDETTO BONELLI;1;
0;;1;
7502;VIA ZNOJMO;0;
560;VIA G. CANESTRINI;0;
570;PIAZZA GEN. A. CANTORE;0;
3821;VIA A. PEZCOLLER;0;
3430;VIA DEI VENTUNO;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
5735;VIA C. BENEDETTI;0;
8052;VIA DELLA VAL DEI MOLINI;0;SP 85 dir Vigolo Baselga
7760;LOCALITA' I CAROZETI;0;
7760;LOCALITA' I CAROZETI;0;
4054;BOSCO DELLA CITTA';0;
7984;VIA DELLE REGOLE;0;
5290;VIA 4 NOVEMBRE;0;
1555;VIA R. LUNELLI;0;
3450;VIALE VERONA;1;
1920;VIA DEI MOLINI;1;
7115;VIA DELLA ZIVERANA;0;
1370;VIA GOCCIADORO;0;
8417;VIA DEL MASO BIANCO;0;
3850;STRADA DELL'INTERPORTO;1;SP 235 dell'Interporto
2140;VIA P. ORSI;0;
5460;VIA INNSBRUCK;0;
2900;VIA R. DA SANSEVERINO;1;
6360;VIA SAN VITO;0;
7485;VIA DELLA RESISTENZA;0;
7370;VIA EREMO;0;
975;L.GO DONATORI VOL. SANGUE;1;
3690;PIAZZA E. MOSNA;0;
1850;LARGO MEDAGLIE D'ORO;1;
8730;VIA BERLINA;0;
3870;VIC. DEL MACELLO VECCHIO;0;
6330;VIA DI PRADISCOLA;0;
1120;VIA FERSINA;0;
1860;VIA GEN. GIACOMO MEDICI;0;
3510;VIA VITTORIO VENETO;0;
7815;VIA NAZIONALE;0;
8514;VIA DELLE CANOPE;0;
3150;VIA DEI SOLTERI;0;
3150;VIA DEI SOLTERI;0;
8470;VIA DELLE TRE CROCI;0;
460;VIA F.LLI BRONZETTI;0;
8618;ANDRONA DI GARNIGA;0;
7460;VIA DON TOMMASO DALLAFIOR;0;
6020;VIA BELLAVISTA;0;
8472;PIAZZA DELL'ASSUNTA;0;
3823;VIA DI COSTA SAN NICOLO';0;
8418;VIA CA ROSSA;0;SP 76 Gardolo-Lases
3720;VIA DELLA MALPENSADA;1;
490;VIA ALLA BUSA;0;
6240;VIA DEI MASETTI;0;
7420;VIA GRAFFIANO;0;
6390;STRADA DELLA VALSUGANA;0;
7115;VIA DELLA ZIVERANA;0;
7370;VIA EREMO;0;
7115;VIA DELLA ZIVERANA;0;
340;VIALE N. BOLOGNINI;1;
785;SALITA G. CICCOLINI;0;
840;VIA DEL COMMERCIO;0;
7703;VIA DELLA GOTARDA;0;SP 21 Mattarello-Aldeno
6495;VIA DI ZELL;0;
1890;VIA MILANO;1;
6120;VIA ALLE COSTE;0;
